job_id,job_title,salary_usd,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
AI00001,AI Research Scientist,90376,SE,CT,China,M,China,50,"Tableau, PyTorch, Kubernetes, Linux, NLP",Bachelor,9,Automotive,2024-10-18,2024-11-07,1076,5,Smart Analytics
AI00002,AI Software Engineer,61895,EN,CT,Canada,M,Ireland,100,"Deep Learning, AWS, Mathematics, Python, Docker",Master,1,Media,2024-11-20,2025-01-11,1268,5,TechCorp Inc
AI00003,AI Specialist,152626,MI,FL,Switzerland,L,South Korea,0,"Kubernetes, Deep Learning, Java, Hadoop, NLP",Associate,2,Education,2025-03-18,2025-04-07,1974,9,Autonomous Tech
AI00004,NLP Engineer,80215,SE,FL,India,M,India,50,"Scala, SQL, Linux, Python",PhD,7,Consulting,2024-12-23,2025-02-24,1345,8,Future Systems
AI00005,AI Consultant,54624,EN,PT,France,S,Singapore,100,"MLOps, Java, Tableau, Python",Master,0,Media,2025-04-15,2025-06-23,1989,6,Advanced Robotics
AI00006,AI Architect,123574,SE,CT,Germany,M,Germany,50,"Data Visualization, R, SQL, Linux",Associate,7,Healthcare,2024-08-31,2024-10-04,819,5,Neural Networks Co
AI00007,Principal Data Scientist,79670,MI,FL,United Kingdom,S,United Kingdom,0,"R, Docker, MLOps",Associate,3,Gaming,2024-12-29,2025-02-28,1936,6,DataVision Ltd
AI00008,NLP Engineer,70640,EN,FL,France,L,France,0,"Python, SQL, Computer Vision, Java, Azure",Master,0,Healthcare,2024-06-07,2024-07-01,1286,7,Cloud AI Solutions
AI00009,Data Analyst,160710,SE,CT,Singapore,L,Singapore,0,"Hadoop, Git, Mathematics, Python",PhD,7,Government,2024-11-04,2024-11-24,551,9,Quantum Computing Inc
AI00010,AI Software Engineer,102557,SE,PT,Austria,M,Austria,0,"MLOps, GCP, Scala, Azure, Linux",Master,5,Government,2024-10-20,2024-11-06,2340,5,Cloud AI Solutions
AI00011,Autonomous Systems Engineer,102322,SE,PT,Sweden,M,Sweden,100,"MLOps, Python, SQL",Associate,8,Telecommunications,2025-01-29,2025-03-05,1047,9,Smart Analytics
AI00012,AI Architect,115047,EX,CT,South Korea,S,South Korea,0,"R, Data Visualization, Python, Azure",Master,15,Manufacturing,2024-07-16,2024-08-19,513,6,TechCorp Inc
AI00013,AI Consultant,124355,SE,CT,France,M,France,100,"Tableau, Python, TensorFlow",PhD,5,Automotive,2024-12-29,2025-01-27,760,5,Predictive Systems
AI00014,Autonomous Systems Engineer,68760,EN,CT,Norway,S,Norway,0,"Scala, SQL, Statistics",Master,0,Energy,2024-02-11,2024-02-25,1657,9,Cloud AI Solutions
AI00015,AI Research Scientist,150122,SE,FT,Sweden,M,Sweden,100,"PyTorch, Python, Data Visualization, GCP",Associate,6,Technology,2024-10-02,2024-11-26,1466,9,Advanced Robotics
AI00016,AI Product Manager,78846,EN,PT,United Kingdom,L,Israel,0,"Linux, Statistics, Deep Learning",PhD,0,Consulting,2024-09-28,2024-10-26,2059,9,DataVision Ltd
AI00017,Principal Data Scientist,59823,EN,FT,India,L,India,100,"Tableau, NLP, Spark",Bachelor,1,Real Estate,2025-02-06,2025-03-26,1200,5,Predictive Systems
AI00018,Machine Learning Engineer,181139,EX,CT,France,L,France,100,"MLOps, PyTorch, Azure",Associate,15,Real Estate,2024-04-24,2024-06-03,2142,8,AI Innovations
AI00019,Data Engineer,155300,SE,CT,Singapore,M,Singapore,0,"Git, Hadoop, R, Python, Spark",Associate,9,Finance,2024-04-30,2024-05-29,589,8,Algorithmic Solutions
AI00020,Research Scientist,93851,MI,PT,Netherlands,L,Germany,100,"Java, Scala, NLP, Docker, Computer Vision",PhD,4,Transportation,2024-05-01,2024-07-02,1809,6,AI Innovations
AI00021,Data Engineer,134197,MI,FT,Norway,M,France,0,"Deep Learning, AWS, Azure",Bachelor,3,Telecommunications,2024-06-21,2024-08-28,969,9,AI Innovations
AI00022,Autonomous Systems Engineer,102550,MI,PT,United States,M,United States,0,"Tableau, Spark, NLP, TensorFlow, PyTorch",Bachelor,2,Automotive,2024-04-23,2024-06-23,625,10,Cognitive Computing
AI00023,ML Ops Engineer,99382,SE,CT,Germany,S,Germany,0,"Hadoop, Git, Tableau",PhD,7,Automotive,2025-03-13,2025-05-11,1629,6,Quantum Computing Inc
AI00024,AI Product Manager,52167,MI,FT,Austria,M,Ireland,100,"Git, Hadoop, Docker",Master,4,Telecommunications,2024-06-07,2024-06-24,2298,9,Cloud AI Solutions
AI00025,ML Ops Engineer,53923,MI,FT,China,S,China,0,"AWS, Azure, Git, SQL, Computer Vision",Bachelor,2,Healthcare,2024-10-27,2024-11-18,1006,7,AI Innovations
AI00026,Robotics Engineer,109779,SE,PT,Israel,L,Israel,100,"Linux, Git, Tableau, Kubernetes, Data Visualization",PhD,6,Government,2024-08-01,2024-10-02,1146,8,DataVision Ltd
AI00027,ML Ops Engineer,80979,MI,CT,Australia,S,India,50,"Hadoop, Linux, Git, Scala",Master,2,Media,2024-11-18,2025-01-18,2109,7,TechCorp Inc
AI00028,Data Analyst,52997,MI,PT,Austria,M,Singapore,0,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",PhD,2,Government,2025-01-10,2025-02-20,2101,8,Predictive Systems
AI00029,Head of AI,42819,EN,CT,Ireland,M,Ireland,50,"Python, Scala, NLP, Mathematics, Git",PhD,0,Healthcare,2024-10-08,2024-11-20,2187,8,Cognitive Computing
AI00030,ML Ops Engineer,82083,MI,CT,Israel,L,Israel,100,"Azure, Python, Computer Vision, Kubernetes, TensorFlow",Master,2,Retail,2024-01-18,2024-02-25,1212,6,Future Systems
AI00031,Head of AI,67488,EN,FT,Netherlands,M,Netherlands,100,"Deep Learning, GCP, AWS, Linux, Tableau",Master,1,Retail,2024-05-16,2024-07-26,887,6,Advanced Robotics
AI00032,Research Scientist,68624,EN,FT,Denmark,M,Denmark,0,"Azure, Python, Spark",Master,1,Real Estate,2024-01-31,2024-03-08,1910,9,Cloud AI Solutions
AI00033,Robotics Engineer,146852,SE,FT,Switzerland,S,Switzerland,50,"NLP, Scala, Python",PhD,7,Real Estate,2024-08-28,2024-09-20,684,5,Cognitive Computing
AI00034,ML Ops Engineer,178183,EX,FL,Finland,M,Finland,0,"Tableau, Azure, GCP, Linux, Python",Associate,16,Education,2024-03-01,2024-03-19,1850,5,Predictive Systems
AI00035,Deep Learning Engineer,150864,SE,FL,Sweden,L,Singapore,0,"R, GCP, MLOps, Linux",PhD,8,Consulting,2024-10-26,2024-12-25,1504,7,Smart Analytics
AI00036,Head of AI,126942,EX,CT,Finland,L,Netherlands,0,"Git, Hadoop, Data Visualization",Associate,10,Finance,2024-01-31,2024-02-26,1261,9,Autonomous Tech
AI00037,AI Architect,53752,MI,PT,Japan,M,Japan,100,"Data Visualization, Tableau, AWS, Mathematics, Python",Associate,2,Telecommunications,2024-10-17,2024-11-12,998,6,TechCorp Inc
AI00038,Robotics Engineer,111381,EX,CT,Israel,S,Israel,0,"Linux, PyTorch, SQL, Statistics",Master,18,Government,2024-01-14,2024-03-12,1030,8,Autonomous Tech
AI00039,AI Specialist,41430,EN,PT,China,M,China,50,"Tableau, Docker, GCP",Bachelor,1,Healthcare,2024-06-15,2024-07-29,2323,8,Future Systems
AI00040,Data Engineer,166080,EX,FL,Netherlands,L,Netherlands,100,"Computer Vision, Azure, Tableau",Associate,15,Government,2024-03-01,2024-05-01,831,5,DeepTech Ventures
AI00041,Data Scientist,96956,MI,FT,United States,M,China,0,"Data Visualization, Azure, Spark, MLOps",Bachelor,2,Telecommunications,2024-02-24,2024-03-09,761,5,DataVision Ltd
AI00042,AI Architect,196954,SE,FL,United States,L,United States,50,"Java, Mathematics, SQL",Bachelor,8,Finance,2025-03-17,2025-04-16,2290,7,DataVision Ltd
AI00043,AI Specialist,56745,EN,PT,Finland,L,Finland,100,"Spark, Mathematics, GCP",Associate,1,Telecommunications,2025-02-01,2025-04-11,502,5,Quantum Computing Inc
AI00044,Machine Learning Researcher,113455,SE,FT,Singapore,M,Singapore,50,"Hadoop, Docker, Python, Azure",Associate,8,Retail,2024-04-24,2024-06-12,1281,8,AI Innovations
AI00045,ML Ops Engineer,158808,SE,PT,Netherlands,M,Netherlands,50,"Docker, R, Linux",Bachelor,5,Media,2025-03-03,2025-05-03,1926,7,Future Systems
